Date_time,Tweet
2019-03-11 11:07:44,b'No caption needed!!\xf0\x9f\xa4\xab\nJust have a look at this video &amp; comment !!\xf0\x9f\x99\x84\nAnd ask a question to yourself....Is this man him\xe2\x80\xa6 https://t.co/gdVO0TORlj'
2019-03-11 11:07:39,b'RT @VollCornHirsch: Parliamentary Elections in the EU in 2019:\n\xf0\x9f\x87\xab\xf0\x9f\x87\xaeFinland-14/04\n\xf0\x9f\x87\xaa\xf0\x9f\x87\xb8Spain-28/04\n\xf0\x9f\x87\xa7\xf0\x9f\x87\xaaBelgium-26/05\n\xf0\x9f\x87\xaa\xf0\x9f\x87\xbaEuropean Parliament-26/05\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xb0\xe2\x80\xa6'
2019-03-11 11:07:35,"b""RT @frittzeegirl: I'm very proud to call you my leader. You have proven yourself to be a leader of high ethics and morality. May the next 3\xe2\x80\xa6"""
2019-03-11 11:07:22,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:07:17,"b""RT @uniksoundsng: How far Manchester United fans, what's the way? Any better? \xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 In life, be humble!!! \n\n#ARSMUN #Elections2019 #LIVBUR\xe2\x80\xa6"""
2019-03-11 11:06:53,"b'RT @madamevecartoon: Apparently, the Dagga Party is still a thing  \xf0\x9f\x99\x82\n\n#Elections2019 #daggaparty #dagga #Politics #polticialparties https:/\xe2\x80\xa6'"
2019-03-11 11:06:27,b'RT @VinayDokania: How Indian Journalists come out with their #OpinionPoll data for #Elections2019 and even justify their numbers\n\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https:/\xe2\x80\xa6'
2019-03-11 11:06:24,b'RT @VinayDokania: How Indian Journalists come out with their #OpinionPoll data for #Elections2019 and even justify their numbers\n\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https:/\xe2\x80\xa6'
2019-03-11 11:06:20,b'Nigeria politics should be made a reality tv show or at least a blogger should turn it into a YouTube series \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xe2\x80\xa6 https://t.co/s2NRkf6q07'
2019-03-11 11:06:15,b'RT @VinayDokania: How Indian Journalists come out with their #OpinionPoll data for #Elections2019 and even justify their numbers\n\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https:/\xe2\x80\xa6'
2019-03-11 11:06:15,b'RT @sanjoy_takam: Arunachal Pradesh will go for vote on April 11 for both #LokSabhaElections2019 and state #Assembly of Arunachal Pradesh\xe2\x80\xa6'
2019-03-11 11:06:13,"b'CM @Dev_Fadnavis says ""PM Modi had once said Sharad Pawar can sense which way the wind is blowing. It seems he has\xe2\x80\xa6 https://t.co/0z8aW3eyHv'"
2019-03-11 11:06:07,b'RT @sanjoy_takam: We are thankful to #ElectionCommission that they have given first vote to Arunachal Pradesh for #Elections2019 to oust th\xe2\x80\xa6'
2019-03-11 11:06:06,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:05:46,"b""Proudly Introducing Specially Designed #NamoSaree for the Democracy's Biggest Festival, This #Elections2019 Wear Yo\xe2\x80\xa6 https://t.co/ZiAkDfaMJH"""
2019-03-11 11:05:41,b'RT @Neeraj_2019: #OpinionPoll\n\nWhich Front can claim to form government on 23 May?\n\n#Elections2019 #LokSabhaElections2019 #17thLokSabha'
2019-03-11 11:05:37,b'RT @VinayDokania: How Indian Journalists come out with their #OpinionPoll data for #Elections2019 and even justify their numbers\n\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https:/\xe2\x80\xa6'
2019-03-11 11:05:33,b'#Elections2019 dates has been announced. @Proactivesms is all set with #DigitalMarketing #strategy for this\xe2\x80\xa6 https://t.co/IUpbxG1Rc0'
2019-03-11 11:05:27,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:05:21,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:05:19,"b""RT @LogicalIndians: #India #ElectionCommissionOfIndia #Elections2019 #LoksabhaElection #LokSabhaElections2019\n\nThe #ElectionCommission's #M\xe2\x80\xa6"""
2019-03-11 11:05:17,b'RT @SiDManchikanti: #Elections2019 Best wishes to @PawanKalyan and @JanaSenaParty. Hope you people bring some change . https://t.co/k4hJOed\xe2\x80\xa6'
